folder_path,shuffles_missing,model_size
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.9,4,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.1,2,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.2,8,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.3,7,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.8,9,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.9,6,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.6,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.7,1,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.8,7,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.9,7,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.0,6,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.1,2,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.2,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.3,3,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.4,3,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.5,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.6,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.7,6,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.8,2,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.9,6,32B
experiments/20260320_ab_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale2.0,1,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.8,1,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/ordinal_helpful_scale0.9,1,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.4,8,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.5,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.6,10,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.7,8,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.8,11,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale0.9,14,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.0,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.1,7,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.2,5,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.3,7,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.4,3,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.6,1,32B
experiments/20260320_ab_scalesweep_novar/model_name_Qwen3-32B/world_helpful_scale1.7,7,32B
