folder_path,shuffles_missing,model_size
experiments/20260524_farm_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/world_mislead_high_neg_scale,1,gemini
experiments/20260524_farm_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_neg_scale,3,gemini
experiments/20260524_farm_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_high_neg_scale,3,gemini
experiments/20260524_farm_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_high_scale,1,gemini
experiments/20260524_farm_warn_noexp_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_scale,1,gemini
experiments/20260524_farm_warn_noexp_novar/model_name_Qwen3-32B/ordinal_helpful_high_neg_scale,1,32B
