folder_path,shuffles_missing,model_size
experiments/20260526_ab_5arm/model_name_gemini-3.1-flash-lite-preview/ordinal_mislead_5arm_high_scale,1,gemini
experiments/20260526_ab_5arm/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_5arm_high_scale,1,gemini
experiments/20260526_ab_5arm/model_name_gemini-3.1-flash-lite-preview/ordinal_helpful_5arm_high_neg_scale,1,gemini
