folder_path,shuffles_missing,model_size
experiments/20260523_ab_warn_novar/model_name_gemini-3.1-flash-lite-preview/sent_new_mislead_low_neg_scale,1,gemini
experiments/20260523_ab_warn_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_low_neg_scale,2,gemini
experiments/20260523_ab_warn_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_neg_scale,3,gemini
experiments/20260523_ab_warn_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_low_scale,5,gemini
experiments/20260523_ab_warn_novar/model_name_gemini-3.1-flash-lite-preview/alphanumeric_high_scale,1,gemini
