folder_path,shuffles_missing,model_size
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.2,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.4,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.0,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.5,15,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-1.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-1.0,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale2.0,15,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.6,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-1.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.4,19,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-1.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-1.9,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale0.5,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.5,16,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.2,16,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale0.9,15,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-1.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.8,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-1.2,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale1.6,17,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-1.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale-0.7,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.7,15,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-0.4,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.5,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/alphanumeric_scale-0.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale-1.3,20,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/world_helpful_scale0.7,18,32B
experiments/20260320_clothing_scalesweep_novar/model_name_Olmo-3.1-32B-Instruct/ordinal_helpful_scale1.6,15,32B
