folder_path,shuffles_missing,model_size
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_mislead_low_neg_scale,3,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/alphanumeric_low_neg_scale,4,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_mislead_high_neg_scale,2,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_helpful_high_neg_scale,3,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/alphanumeric_high_neg_scale,4,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_helpful_high_scale,4,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_helpful_high_neg_scale,5,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_mislead_low_scale,3,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_helpful_low_scale,1,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_mislead_high_neg_scale,2,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_helpful_low_scale,2,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_mislead_high_scale,3,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/alphanumeric_high_scale,1,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_mislead_low_neg_scale,2,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_mislead_low_scale,4,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sent_helpful_low_neg_scale,5,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_helpful_high_scale,2,32B
experiments/20260124_farm_2sd_var/model_name_Qwen3-32B_prompt_summhist/sem_rel_mislead_high_scale,5,32B
